"AngleOfAttack";"Iteration";"CLift";"CDrag";"CSideForce";"CMx";"CMy";"CMz";"CFx";"CFy";"CFz";"CL/CD";"Res_Flow[0]";"Res_Flow[1]";"Res_Flow[2]";"Res_Flow[3]";"Res_Flow[4]";"Linear_Solver_Iterations";"CFL_Number";"Time(min)"
-01;         480; -0,0642951751; 0,0019714706; 0,0000000000; 0,0000000000; 0,0000000000; -0,0053796652; 0,0008490648; -0,0643197895; 0,0000000000; -32,6127993302; -10,5813948838; -10,3086957941; -10,0473226995; -10,0495196919; 0,0000000000; 5,0000000000; 5,0000000000; 1,8951333333
-02;         484; -0,1810911606; 0,0024796614; 0,0000000000; 0,0000000000; 0,0000000000; -0,0060404157; -0,0038418395; -0,1810673837; 0,0000000000; -73,0305996537; -10,5868648516; -10,3064125677; -10,0508406086; -10,0546189942; 0,0000000000; 5,0000000000; 5,0000000000; 1,9110000000
-03;         507; -0,2974205548; 0,0032231724; 0,0000000000; 0,0000000000; 0,0000000000; -0,0067014264; -0,0123470340; -0,2971816380; 0,0000000000; -92,2757200724; -10,7085236010; -10,4094770447; -10,1676187321; -10,1749578786; 0,0000000000; 5,0000000000; 5,0000000000; 2,0118833333
-04;         519; -0,4131841298; 0,0042270263; 0,0000000000; 0,0000000000; 0,0000000000; -0,0073479482; -0,0246055385; -0,4124724965; 0,0000000000; -97,7481812435; -10,7484623313; -10,4253357612; -10,1905250972; -10,2149993146; 0,0000000000; 5,0000000000; 5,0000000000; 2,0485333333
00;         486; 0,0528549234; 0,0016713810; 0,0000000000; 0,0000000000; 0,0000000000; -0,0047244847; 0,0016713810; 0,0528549234; 0,0000000000; 31,6235043401; -10,5898551019; -10,3100255806; -10,0587864853; -10,0566346400; 0,0000000000; 5,0000000000; 5,0000000000; 1,9042333333
01;         501; 0,1702206668; 0,0015551710; 0,0000000000; 0,0000000000; 0,0000000000; -0,0040672696; -0,0014158262; 0,1702218829; 0,0000000000; 109,4546326074; -10,6257578041; -10,3258725227; -10,0853070629; -10,0916340417; 0,0000000000; 5,0000000000; 5,0000000000; 1,9708166667
02;         503; 0,2876297190; 0,0016040419; 0,0000000000; 0,0000000000; 0,0000000000; -0,0033834759; -0,0084350676; 0,2875104830; 0,0000000000; 179,3155860174; -10,5465024346; -10,2544961381; -10,0042189119; -10,0123209700; 0,0000000000; 5,0000000000; 5,0000000000; 1,9825000000
03;         507; 0,4048790982; 0,0018025140; 0,0000000000; 0,0000000000; 0,0000000000; -0,0026374444; -0,0193896911; 0,4044185618; 0,0000000000; 224,6191157658; -10,4903650803; -10,2054771645; -9,9471081086; -9,9565966459; 0,0000000000; 5,0000000000; 5,0000000000; 2,0061500000
04;         517; 0,5217709238; 0,0021558059; 0,0000000000; 0,0000000000; 0,0000000000; -0,0017938918; -0,0342463453; 0,5206502975; 0,0000000000; 242,0305651094; -10,4959826954; -10,2132827354; -9,9510621513; -9,9619493343; 0,0000000000; 5,0000000000; 5,0000000000; 2,0550333333
05;         580; 0,6381417692; 0,0026834540; 0,0000000000; 0,0000000000; 0,0000000000; -0,0008346766; -0,0529444772; 0,6359473255; 0,0000000000; 237,8061150470; -10,9483110322; -10,6522984650; -10,3831671543; -10,4144627296; 0,0000000000; 5,0000000000; 5,0000000000; 2,2895500000
06;         603; 0,7538798146; 0,0034089780; 0,0000000000; 0,0000000000; 0,0000000000; 0,0002373842; -0,0754115953; 0,7501063173; 0,0000000000; 221,1454046046; -11,0799800089; -10,7650170512; -10,5306766662; -10,5470756898; 0,0000000000; 5,0000000000; 5,0000000000; 2,3940833333
07;         622; 0,8689012637; 0,0043601304; 0,0000000000; 0,0000000000; 0,0000000000; 0,0014048838; -0,1015647958; 0,8629559717; 0,0000000000; 199,2833185581; -11,1979787599; -10,8563648313; -10,6528440417; -10,6656383296; 0,0000000000; 5,0000000000; 5,0000000000; 2,4614333333
08;         629; 0,9831168243; 0,0055620820; 0,0000000000; 0,0000000000; 0,0000000000; 0,0026435246; -0,1313154649; 0,9743232912; 0,0000000000; 176,7533857359; -11,2156008801; -10,8425050519; -10,6845798624; -10,6826210725; 0,0000000000; 5,0000000000; 5,0000000000; 2,4827500000
09;         647; 1,0964218032; 0,0070338383; 0,0000000000; 0,0000000000; 0,0000000000; 0,0039307763; -0,1645709181; 1,0840233661; 0,0000000000; 155,8781639899; -11,3132355752; -10,8965205819; -10,7957290844; -10,7790044819; 0,0000000000; 5,0000000000; 5,0000000000; 2,5643833333
10;         668; 1,2086864230; 0,0087935761; 0,0000000000; 0,0000000000; 0,0000000000; 0,0052464431; -0,2012262128; 1,1918507488; 0,0000000000; 137,4510671476; -11,4016396397; -10,9448300447; -10,9054383821; -10,8654769423; 0,0000000000; 5,0000000000; 5,0000000000; 2,6704500000
11;         675; 1,3197442301; 0,0108584708; 0,0000000000; 0,0000000000; 0,0000000000; 0,0065740706; -0,2411601006; 1,2975687053; 0,0000000000; 121,5405242321; -11,3569689188; -10,8563031364; -10,8994882296; -10,8185378803; 0,0000000000; 5,0000000000; 5,0000000000; 2,6751500000
12;         684; 1,4293889904; 0,0132460898; 0,0000000000; 0,0000000000; 0,0000000000; 0,0079029549; -0,2842300508; 1,4009074284; 0,0000000000; 107,9102593262; -11,3204141765; -10,7699419890; -10,9001685220; -10,7797921027; 0,0000000000; 5,0000000000; 5,0000000000; 2,7068666667
13;         720; 1,5373828443; 0,0159726829; 0,0000000000; 0,0000000000; 0,0000000000; 0,0092276431; -0,3302725877; 1,5015728934; 0,0000000000; 96,2507584968; -11,4763249262; -10,8889457867; -11,1136169260; -10,9337908833; 0,0000000000; 5,0000000000; 5,0000000000; 2,8646833333
14;         753; 1,6434409891; 0,0190585275; 0,0000000000; 0,0000000000; 0,0000000000; 0,0105477586; -0,3790919516; 1,5992344432; 0,0000000000; 86,2312679115; -11,5901112361; -10,9713394658; -11,2933627750; -11,0459336765; 0,0000000000; 5,0000000000; 5,0000000000; 2,9889666667
16;         811; 1,8485136270; 0,0263780786; 0,0000000000; 0,0000000000; 0,0000000000; 0,0131808463; -0,4841631718; 1,7841761279; 0,0000000000; 70,0776450343; -11,6678620609; -11,0314820962; -11,5076373904; -11,1222606823; 0,0000000000; 5,0000000000; 5,0000000000; 3,2172500000
18;         882; 2,0417506808; 0,0354019409; 0,0000000000; 0,0000000000; 0,0000000000; 0,0158213617; -0,5972664121; 1,9527600910; 0,0000000000; 57,6734108048; -11,7630167166; -11,1356845725; -11,6246452970; -11,2176496646; 0,0000000000; 5,0000000000; 5,0000000000; 3,4840000000
20;         957; 2,2201479199; 0,0462743018; 0,0000000000; 0,0000000000; 0,0000000000; 0,0184469941; -0,7158516899; 2,1020833607; 0,0000000000; 47,9779885409; -11,8120836092; -11,1962953656; -11,6438015189; -11,2672659090; 0,0000000000; 5,0000000000; 5,0000000000; 3,7871666667
